customer_id,persona,is_story_customer,story_customer_id,recency_days,frequency,monetary,avg_order_value,max_order_value,min_order_value,total_quantity,avg_discount_pct,discount_usage_rate,website_orders_pct,app_orders_pct,whatsapp_orders_pct,preferred_payment_method,baby_care_orders,family_essentials_orders,wellness_orders,self_care_orders,nutrition_orders,favorite_category,customer_tenure_days,days_since_last_order,avg_days_between_orders,orders_per_month,story_type,journey_stage,engagement_level
CUST00038,Wellness Seekers,0,,51,5,3970.9,794.1800000000001,1077.0,611.1,8,10.0,0.8,0.0,0.8,0.2,UPI,0,0,5,0,0,Wellness,546,51,118.0,0.275,UNKNOWN,UNKNOWN,UNKNOWN
CUST00039,Wellness Seekers,0,,86,6,5314.75,885.7916666666666,2371.2,433.5,9,10.0,0.8333333333333334,0.3333333333333333,0.5,0.16666666666666666,UPI,1,1,4,0,0,Wellness,347,86,32.0,0.519,UNKNOWN,UNKNOWN,UNKNOWN
CUST00040,Seasoned Parents,0,,41,6,5041.75,840.2916666666666,1244.0,523.45,11,4.166666666666667,0.5,0.8333333333333334,0.0,0.16666666666666666,CARD,2,1,3,0,0,Wellness,684,41,125.6,0.263,UNKNOWN,UNKNOWN,UNKNOWN
CUST00041,New Parents,0,,37,10,8707.95,870.7950000000001,1543.6,278.1,21,10.5,0.9,0.3,0.5,0.2,CARD,5,3,2,0,0,Baby Care,90,37,5.444444444444445,3.333,UNKNOWN,UNKNOWN,UNKNOWN
CUST00042,Seasoned Parents,0,,21,11,14738.4,1339.8545454545454,3952.0,408.6,27,9.545454545454545,0.6363636363636364,0.36363636363636365,0.36363636363636365,0.2727272727272727,UPI,3,4,4,0,0,Family Essentials,653,21,51.8,0.505,UNKNOWN,UNKNOWN,UNKNOWN
CUST00043,New Parents,0,,8,9,11838.8,1315.4222222222222,3506.25,637.45,20,6.666666666666667,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,UPI,6,2,1,0,0,Baby Care,595,8,65.875,0.454,UNKNOWN,UNKNOWN,UNKNOWN
CUST00044,Premium Self-Care,0,,48,7,8057.65,1151.0928571428572,2037.0,652.65,12,0.7142857142857143,0.14285714285714285,0.0,1.0,0.0,UPI,1,2,4,0,0,Wellness,351,48,45.5,0.598,UNKNOWN,UNKNOWN,UNKNOWN
CUST00045,Budget Families,0,,56,10,7442.55,744.255,1267.2,204.0,19,13.5,0.9,0.8,0.1,0.1,COD,3,2,5,0,0,Wellness,202,56,12.666666666666666,1.485,UNKNOWN,UNKNOWN,UNKNOWN
CUST00046,Seasoned Parents,0,,47,10,12418.5,1241.85,3008.0,266.4,21,7.5,0.7,0.6,0.3,0.1,UPI,1,5,4,0,0,Family Essentials,304,47,26.444444444444443,0.987,UNKNOWN,UNKNOWN,UNKNOWN
CUST00047,New Parents,0,,37,10,8367.4,836.74,1398.0,299.7,18,8.0,0.7,0.6,0.4,0.0,UPI,3,6,1,0,0,Family Essentials,590,37,45.666666666666664,0.508,UNKNOWN,UNKNOWN,UNKNOWN
CUST00048,Wellness Seekers,0,,126,3,4957.85,1652.6166666666668,3358.8,305.15,7,10.0,1.0,0.6666666666666666,0.3333333333333333,0.0,UPI,0,1,2,0,0,Wellness,760,126,281.5,0.118,UNKNOWN,UNKNOWN,UNKNOWN
CUST00049,Wellness Seekers,0,,17,8,7201.3,900.1625,1904.4,359.0,12,6.875,0.625,0.375,0.5,0.125,CARD,0,1,7,0,0,Wellness,207,17,26.714285714285715,1.159,UNKNOWN,UNKNOWN,UNKNOWN
CUST00050,Seasoned Parents,0,,7,10,7132.4,713.24,2010.2,292.4,12,6.5,0.5,0.6,0.3,0.1,CARD,2,5,3,0,0,Family Essentials,42,7,3.888888888888889,7.143,UNKNOWN,UNKNOWN,UNKNOWN
CUST00051,Premium Self-Care,0,,56,5,4348.25,869.65,1945.6,352.0,8,7.0,0.6,0.2,0.8,0.0,CARD,0,1,4,0,0,Wellness,170,56,24.25,0.882,UNKNOWN,UNKNOWN,UNKNOWN
CUST00052,Wellness Seekers,0,,103,6,5556.7,926.1166666666667,1774.8,409.6,9,7.5,0.8333333333333334,0.5,0.5,0.0,UPI,1,0,5,0,0,Wellness,426,103,33.6,0.423,UNKNOWN,UNKNOWN,UNKNOWN
CUST00053,Wellness Seekers,0,,33,6,3982.3500000000004,663.725,1396.5,435.2,9,6.666666666666667,0.8333333333333334,0.16666666666666666,0.6666666666666666,0.16666666666666666,UPI,0,0,6,0,0,Wellness,104,33,14.2,1.731,UNKNOWN,UNKNOWN,UNKNOWN
CUST00054,Budget Families,0,,210,6,11876.25,1979.375,3300.0,1021.5,18,18.333333333333332,1.0,0.8333333333333334,0.0,0.16666666666666666,COD,1,5,0,0,0,Family Essentials,465,210,45.6,0.387,UNKNOWN,UNKNOWN,UNKNOWN
CUST00055,Wellness Seekers,0,,1,6,5031.45,838.5749999999999,1880.0,460.8,10,2.5,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,UPI,2,1,3,0,0,Wellness,376,1,51.6,0.479,UNKNOWN,UNKNOWN,UNKNOWN
CUST00056,Premium Self-Care,0,,104,3,1827.2,609.0666666666667,952.2,328.0,3,3.3333333333333335,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,CARD,0,1,2,0,0,Wellness,413,104,55.0,0.218,UNKNOWN,UNKNOWN,UNKNOWN
CUST00057,Wellness Seekers,0,,16,10,6699.2,669.92,1352.8,392.0,12,11.0,0.9,0.9,0.1,0.0,CARD,0,0,10,0,0,Wellness,436,16,32.22222222222222,0.688,UNKNOWN,UNKNOWN,UNKNOWN
CUST00058,Dormant Customers,0,,55,2,3027.7,1513.85,2397.0,630.7,5,15.0,1.0,1.0,0.0,0.0,NETBANKING,1,0,1,0,0,Baby Care,194,55,59.0,0.309,UNKNOWN,UNKNOWN,UNKNOWN
CUST00059,New Parents,0,,26,9,9392.55,1043.6166666666666,2116.0,408.6,20,7.222222222222222,0.6666666666666666,0.5555555555555556,0.3333333333333333,0.1111111111111111,UPI,4,5,0,0,0,Family Essentials,375,26,42.25,0.72,UNKNOWN,UNKNOWN,UNKNOWN
CUST00060,Wellness Seekers,0,,148,6,5855.9,975.9833333333332,2167.2,413.1,9,5.833333333333333,0.5,0.5,0.5,0.0,UPI,0,0,6,0,0,Wellness,531,148,67.6,0.339,UNKNOWN,UNKNOWN,UNKNOWN
CUST00061,Wellness Seekers,0,,295,3,3269.55,1089.8500000000001,2136.0,549.6,5,11.666666666666666,0.6666666666666666,0.0,0.6666666666666666,0.3333333333333333,CARD,0,0,3,0,0,Wellness,572,295,68.0,0.157,UNKNOWN,UNKNOWN,UNKNOWN
CUST00062,New Parents,0,,95,5,4719.0,943.8,1895.6,276.3,11,17.0,0.8,0.6,0.4,0.0,CARD,2,3,0,0,0,Family Essentials,732,95,142.25,0.205,UNKNOWN,UNKNOWN,UNKNOWN
CUST00063,Seasoned Parents,0,,31,6,4547.15,757.8583333333332,1362.0,323.1,11,12.5,0.8333333333333334,0.5,0.16666666666666666,0.3333333333333333,UPI,0,4,2,0,0,Family Essentials,332,31,54.0,0.542,UNKNOWN,UNKNOWN,UNKNOWN
CUST00064,Wellness Seekers,0,,89,3,2465.3,821.7666666666668,1039.3,486.0,4,1.6666666666666667,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.0,UPI,0,0,3,0,0,Wellness,592,89,213.5,0.152,UNKNOWN,UNKNOWN,UNKNOWN
CUST00065,Wellness Seekers,0,,124,6,6158.45,1026.4083333333333,3944.0,287.2,9,11.666666666666666,0.8333333333333334,0.3333333333333333,0.6666666666666666,0.0,CARD,0,1,5,0,0,Wellness,647,124,74.0,0.278,UNKNOWN,UNKNOWN,UNKNOWN
CUST00066,Wellness Seekers,0,,4,3,1276.2,425.40000000000003,664.05,295.8,3,8.333333333333334,1.0,0.3333333333333333,0.6666666666666666,0.0,UPI,1,0,2,0,0,Wellness,278,4,91.5,0.324,UNKNOWN,UNKNOWN,UNKNOWN
CUST00067,Wellness Seekers,0,,2,6,5072.95,845.4916666666667,1458.0,359.0,10,6.666666666666667,0.5,0.16666666666666666,0.8333333333333334,0.0,UPI,0,0,6,0,0,Wellness,259,2,49.0,0.695,UNKNOWN,UNKNOWN,UNKNOWN
CUST00068,Seasoned Parents,0,,10,5,2936.8,587.36,960.0,276.3,8,3.0,0.4,0.2,0.4,0.4,CARD,2,1,2,0,0,Baby Care,211,10,32.75,0.711,UNKNOWN,UNKNOWN,UNKNOWN
CUST00069,Seasoned Parents,0,,153,7,5494.0,784.8571428571429,1735.2,450.0,10,5.714285714285714,0.42857142857142855,0.42857142857142855,0.2857142857142857,0.2857142857142857,COD,1,3,3,0,0,Family Essentials,393,153,34.333333333333336,0.534,UNKNOWN,UNKNOWN,UNKNOWN
CUST00070,Budget Families,0,,7,10,13456.55,1345.655,3712.5,247.2,22,15.0,1.0,0.6,0.1,0.3,COD,3,7,0,0,0,Family Essentials,112,7,10.333333333333334,2.679,UNKNOWN,UNKNOWN,UNKNOWN
CUST00071,Budget Families,0,,2,6,4187.6,697.9333333333334,1362.0,281.6,16,24.166666666666668,1.0,0.3333333333333333,0.16666666666666666,0.5,UPI,0,6,0,0,0,Family Essentials,79,2,13.6,2.278,UNKNOWN,UNKNOWN,UNKNOWN
CUST00072,Seasoned Parents,0,,23,11,16797.8,1527.0727272727272,3918.75,438.0,25,6.818181818181818,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.18181818181818182,UPI,2,8,1,0,0,Family Essentials,172,23,14.3,1.919,UNKNOWN,UNKNOWN,UNKNOWN
CUST00073,Dormant Customers,0,,180,2,1190.4,595.2,788.4,402.0,4,5.0,0.5,0.5,0.0,0.5,COD,0,2,0,0,0,Family Essentials,291,180,40.0,0.206,UNKNOWN,UNKNOWN,UNKNOWN
CUST00074,Seasoned Parents,0,,1,10,8793.9,879.39,2143.2,372.0,23,8.0,0.9,0.5,0.3,0.2,UPI,4,1,5,0,0,Wellness,539,1,59.44444444444444,0.557,UNKNOWN,UNKNOWN,UNKNOWN
CUST00075,Seasoned Parents,0,,18,8,9302.05,1162.75625,3385.6,315.35,18,9.375,0.75,0.25,0.625,0.125,UPI,2,3,3,0,0,Family Essentials,44,18,3.4285714285714284,5.455,UNKNOWN,UNKNOWN,UNKNOWN
CUST00076,Seasoned Parents,0,,33,6,6130.6,1021.7666666666668,2750.0,460.8,9,9.166666666666666,0.8333333333333334,0.6666666666666666,0.0,0.3333333333333333,NETBANKING,1,3,2,0,0,Family Essentials,559,33,100.8,0.322,UNKNOWN,UNKNOWN,UNKNOWN
CUST00077,Budget Families,0,,65,11,9053.6,823.0545454545455,1350.0,275.2,29,13.636363636363637,1.0,0.45454545454545453,0.2727272727272727,0.2727272727272727,UPI,3,7,1,0,0,Family Essentials,611,65,54.2,0.54,UNKNOWN,UNKNOWN,UNKNOWN
CUST00078,Budget Families,0,,42,6,4462.75,743.7916666666666,1168.75,233.6,11,18.333333333333332,1.0,0.5,0.3333333333333333,0.16666666666666666,COD,3,3,0,0,0,Baby Care,440,42,70.8,0.409,UNKNOWN,UNKNOWN,UNKNOWN
CUST00079,Budget Families,0,,25,11,13637.65,1239.7863636363636,4950.0,219.0,24,16.363636363636363,1.0,0.6363636363636364,0.2727272727272727,0.09090909090909091,COD,3,7,1,0,0,Family Essentials,717,25,65.4,0.46,UNKNOWN,UNKNOWN,UNKNOWN
CUST00080,Premium Self-Care,0,,4,6,6152.5,1025.4166666666667,1602.0,568.1,12,4.166666666666667,0.8333333333333334,0.5,0.16666666666666666,0.3333333333333333,COD,1,0,5,0,0,Wellness,47,4,7.2,3.83,UNKNOWN,UNKNOWN,UNKNOWN
CUST00081,Premium Self-Care,0,,22,4,2516.2,629.05,940.0,278.1,4,5.0,0.5,0.25,0.75,0.0,CARD,1,0,3,0,0,Wellness,328,22,45.0,0.366,UNKNOWN,UNKNOWN,UNKNOWN
CUST00082,Budget Families,1,SC059,10,12,9739.2,811.6,2403.0,253.6,24,15.416666666666666,0.9166666666666666,0.25,0.5,0.25,COD,5,7,0,0,0,Family Essentials,352,10,23.181818181818183,1.023,Budget-Conscious Family Shoppers,Stable,Medium
CUST00083,Wellness Seekers,0,,29,4,2170.1,542.525,986.0,287.2,4,10.0,0.75,0.25,0.75,0.0,UPI,0,0,4,0,0,Wellness,276,29,59.666666666666664,0.435,UNKNOWN,UNKNOWN,UNKNOWN
CUST00084,Wellness Seekers,0,,28,9,5515.95,612.8833333333333,936.7,323.1,11,11.666666666666666,0.8888888888888888,0.3333333333333333,0.5555555555555556,0.1111111111111111,UPI,1,0,8,0,0,Wellness,398,28,43.375,0.678,UNKNOWN,UNKNOWN,UNKNOWN
CUST00085,Premium Self-Care,0,,132,3,1907.7,635.9,921.6,341.05,4,6.666666666666667,1.0,0.6666666666666666,0.0,0.3333333333333333,CARD,0,0,3,0,0,Wellness,736,132,231.0,0.122,UNKNOWN,UNKNOWN,UNKNOWN
CUST00086,Seasoned Parents,0,,35,5,4107.3,821.46,2030.4,361.6,8,10.0,0.8,0.8,0.0,0.2,UPI,1,1,3,0,0,Wellness,309,35,46.5,0.485,UNKNOWN,UNKNOWN,UNKNOWN
CUST00087,Premium Self-Care,0,,39,2,1157.05,578.525,645.05,512.0,2,2.5,0.5,0.0,0.5,0.5,CARD,0,0,2,0,0,Wellness,236,39,53.0,0.254,UNKNOWN,UNKNOWN,UNKNOWN
CUST00088,Premium Self-Care,0,,131,6,7062.75,1177.125,3612.0,305.15,11,5.833333333333333,0.5,0.3333333333333333,0.6666666666666666,0.0,CARD,0,0,6,0,0,Wellness,459,131,37.4,0.392,UNKNOWN,UNKNOWN,UNKNOWN
CUST00089,New Parents,0,,22,5,7073.4,1414.6799999999998,3300.0,280.8,10,10.0,0.8,1.0,0.0,0.0,COD,4,1,0,0,0,Baby Care,207,22,30.25,0.725,UNKNOWN,UNKNOWN,UNKNOWN
CUST00090,New Parents,0,,29,6,9699.0,1616.5,4125.0,295.8,13,9.166666666666666,0.6666666666666666,0.3333333333333333,0.5,0.16666666666666666,UPI,2,2,2,0,0,Baby Care,594,29,107.2,0.303,UNKNOWN,UNKNOWN,UNKNOWN
CUST00091,Wellness Seekers,0,,41,10,6899.65,689.9649999999999,986.0,359.0,14,5.0,0.7,0.4,0.6,0.0,CARD,0,2,8,0,0,Wellness,598,41,61.888888888888886,0.502,UNKNOWN,UNKNOWN,UNKNOWN
CUST00092,New Parents,0,,27,4,6378.45,1594.6125,2580.2,934.0,13,7.5,0.75,0.5,0.5,0.0,UPI,3,0,1,0,0,Baby Care,637,27,202.66666666666666,0.188,UNKNOWN,UNKNOWN,UNKNOWN
CUST00093,Seasoned Parents,0,,2,12,15165.55,1263.7958333333333,4020.4,341.05,23,5.833333333333333,0.6666666666666666,0.16666666666666666,0.6666666666666666,0.16666666666666666,CARD,3,4,5,0,0,Wellness,494,2,44.72727272727273,0.729,UNKNOWN,UNKNOWN,UNKNOWN
CUST00094,New Parents,0,,13,5,5683.35,1136.67,2013.0,652.65,11,6.0,0.8,0.4,0.4,0.2,UPI,1,2,2,0,0,Family Essentials,148,13,10.5,1.014,UNKNOWN,UNKNOWN,UNKNOWN
CUST00095,Budget Families,0,,61,5,5384.85,1076.97,2406.4,316.4,12,19.0,1.0,0.6,0.2,0.2,COD,2,3,0,0,0,Family Essentials,160,61,15.5,0.938,UNKNOWN,UNKNOWN,UNKNOWN
CUST00096,Budget Families,0,,94,9,11286.599999999999,1254.0666666666666,3161.6,291.65,27,14.444444444444445,1.0,0.4444444444444444,0.0,0.5555555555555556,UPI,4,5,0,0,0,Family Essentials,485,94,44.875,0.557,UNKNOWN,UNKNOWN,UNKNOWN
CUST00097,Seasoned Parents,0,,24,5,4028.1,805.62,1833.3,352.0,8,12.0,0.8,0.6,0.2,0.2,CARD,0,3,2,0,0,Family Essentials,327,24,67.75,0.459,UNKNOWN,UNKNOWN,UNKNOWN
CUST00098,Wellness Seekers,0,,25,7,6498.25,928.3214285714286,2046.8,295.2,11,7.142857142857143,0.8571428571428571,0.2857142857142857,0.7142857142857143,0.0,UPI,0,1,6,0,0,Wellness,233,25,32.0,0.901,UNKNOWN,UNKNOWN,UNKNOWN
CUST00099,Seasoned Parents,0,,167,11,6234.15,566.7409090909091,964.0,261.0,15,8.636363636363637,0.6363636363636364,0.36363636363636365,0.45454545454545453,0.18181818181818182,UPI,1,4,6,0,0,Wellness,584,167,40.8,0.565,UNKNOWN,UNKNOWN,UNKNOWN
CUST00100,Premium Self-Care,0,,146,4,2842.8,710.7,1290.1,490.0,5,3.75,0.5,0.0,0.75,0.25,CARD,0,0,4,0,0,Wellness,633,146,139.33333333333334,0.19,UNKNOWN,UNKNOWN,UNKNOWN
CUST00101,Premium Self-Care,0,,27,2,1665.0,832.5,986.0,679.0,2,0.0,0.0,0.0,1.0,0.0,CARD,0,0,2,0,0,Wellness,52,27,4.0,1.154,UNKNOWN,UNKNOWN,UNKNOWN
CUST00102,Premium Self-Care,0,,113,2,2646.6,1323.3,2287.6,359.0,3,2.5,0.5,1.0,0.0,0.0,CARD,0,0,2,0,0,Wellness,305,113,42.0,0.197,UNKNOWN,UNKNOWN,UNKNOWN
CUST00103,Premium Self-Care,0,,38,3,4658.8,1552.9333333333334,3712.5,328.0,5,6.666666666666667,0.6666666666666666,0.0,1.0,0.0,CARD,0,1,2,0,0,Wellness,45,38,3.0,2.0,UNKNOWN,UNKNOWN,UNKNOWN
CUST00104,Wellness Seekers,0,,35,8,5458.2,682.275,1424.0,490.0,10,2.5,0.5,0.25,0.625,0.125,NETBANKING,0,0,8,0,0,Wellness,519,35,66.0,0.462,UNKNOWN,UNKNOWN,UNKNOWN
CUST00105,Seasoned Parents,0,,2,4,3031.6,757.9,899.3,611.1,6,8.75,0.75,0.75,0.25,0.0,UPI,0,3,1,0,0,Family Essentials,245,2,59.0,0.49,UNKNOWN,UNKNOWN,UNKNOWN
